gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,student_databases_tools,student_cloud_platforms_infra_tools,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,tamil,bachelor's degree,data science,3.34,2,2,3.01,cloud engineer,"c#, .net",oracle,azure,low,visual,qa engineer,remote,poor,no,4,none
female,"english, sinhala, tamil",bachelor's degree,information technology,3.16,4,2,2.29,software engineer,"c#, .net",sql server,azure,low,kinesthetic,data scientist,onsite,poor,no,10,none
male,"sinhala, tamil",bachelor's degree,cyber security,3.52,2,2,3.59,network engineer,"python, java",oracle,gcp,excellent,visual,software engineer,hybrid,poor,yes,12,azure
male,"sinhala, tamil",bachelor's degree,data science,2.5,2,2,3.8,cyber security analyst,"javascript, php",mysql,gcp,low,auditory,qa engineer,hybrid,poor,yes,6,aws
female,"sinhala, tamil",bachelor's degree,computer science,2.67,2,2,3.95,devops engineer,"javascript, php",mysql,gcp,low,kinesthetic,software engineer,remote,average,yes,8,azure
female,"english, sinhala",bachelor's degree,data science,2.83,1,1,2.38,data analyst,"javascript, php",sql server,azure,moderate,visual,software engineer,remote,poor,no,5,google
female,tamil,bachelor's degree,computer science,2.29,2,2,3.62,ml engineer,"java, c++",sql server,kubernetes,low,visual,devops engineer,hybrid,poor,yes,7,google
female,"english, sinhala",bachelor's degree,information technology,2.4,3,2,2.93,cyber security analyst,"python, sql",mongodb,kubernetes,low,kinesthetic,software engineer,onsite,excellent,yes,0,none
male,"sinhala, tamil",bachelor's degree,software engineering,2.4,1,2,3.19,ml engineer,"python, java",mysql,aws,excellent,kinesthetic,data scientist,onsite,average,yes,2,cisco
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.58,3,1,2.94,cyber security analyst,"c#, .net",sql server,docker,low,auditory,systems analyst,hybrid,poor,no,7,cisco
male,"tamil, english",bachelor's degree,software engineering,3.01,4,1,3.36,data analyst,"python, r",postgresql,kubernetes,low,kinesthetic,devops engineer,remote,poor,no,3,none
female,"sinhala, tamil",bachelor's degree,data science,3.85,3,1,2.65,ml engineer,"python, sql",sql server,kubernetes,low,visual,data scientist,hybrid,poor,yes,11,google
female,"tamil, english",bachelor's degree,cyber security,3.41,4,1,3.72,qa engineer,"java, c++",mysql,gcp,excellent,auditory,software engineer,remote,excellent,no,6,aws
female,english,bachelor's degree,cyber security,2.57,2,1,2.84,systems analyst,"python, r",postgresql,gcp,low,visual,qa engineer,hybrid,excellent,no,5,google
male,tamil,bachelor's degree,data science,2.76,1,2,3.3,data analyst,"javascript, php",postgresql,docker,excellent,kinesthetic,systems analyst,remote,average,yes,1,cisco
male,sinhala,bachelor's degree,software engineering,2.52,1,1,3.8,ai engineer,"python, r",mongodb,gcp,excellent,kinesthetic,qa engineer,onsite,poor,no,4,google
female,"english, sinhala, tamil",bachelor's degree,information technology,2.41,2,1,3.67,ml engineer,"c#, .net",postgresql,docker,low,kinesthetic,qa engineer,remote,poor,no,12,azure
male,"english, sinhala, tamil",bachelor's degree,data science,3.6,3,1,2.69,data analyst,"c#, .net",mongodb,azure,excellent,visual,software engineer,hybrid,poor,no,7,cisco
female,tamil,bachelor's degree,computer science,2.89,2,1,3.42,data analyst,"python, sql",oracle,gcp,excellent,kinesthetic,software engineer,onsite,poor,no,1,cisco
male,"english, sinhala",bachelor's degree,software engineering,2.55,3,1,2.82,cyber security analyst,"python, r",mysql,aws,moderate,visual,systems analyst,onsite,average,no,10,none
female,"tamil, english",bachelor's degree,cyber security,3.24,2,2,2.41,network engineer,"java, c++",postgresql,aws,moderate,auditory,qa engineer,hybrid,poor,no,3,cisco
male,sinhala,bachelor's degree,software engineering,2.35,3,1,3.89,qa engineer,"python, sql",postgresql,docker,low,visual,software engineer,onsite,excellent,no,10,aws
male,tamil,bachelor's degree,computer science,2.91,3,2,3.0,ml engineer,"python, java",oracle,docker,moderate,kinesthetic,software engineer,remote,average,yes,4,google
female,"english, sinhala",bachelor's degree,information technology,2.25,4,2,3.44,network engineer,"python, java",mysql,kubernetes,excellent,kinesthetic,systems analyst,hybrid,average,no,11,none
male,"english, sinhala, tamil",bachelor's degree,computer science,3.73,1,1,2.31,cyber security analyst,"python, java",mysql,docker,moderate,visual,software engineer,remote,average,no,5,azure
female,"english, sinhala",bachelor's degree,software engineering,2.72,2,1,3.64,cyber security analyst,"javascript, php",sql server,docker,low,kinesthetic,qa engineer,hybrid,excellent,yes,2,google
female,"english, sinhala",bachelor's degree,cyber security,3.95,3,1,3.57,devops engineer,"javascript, php",mongodb,kubernetes,excellent,visual,qa engineer,hybrid,excellent,yes,11,none
female,"tamil, english",bachelor's degree,information technology,3.56,4,1,3.58,cloud engineer,"java, c++",sql server,gcp,excellent,visual,systems analyst,hybrid,average,no,9,cisco
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.97,4,1,3.94,software engineer,"c#, .net",oracle,docker,excellent,visual,data scientist,remote,average,yes,11,cisco
male,"tamil, english",bachelor's degree,information technology,2.58,3,1,3.99,cyber security analyst,"c#, .net",mongodb,kubernetes,excellent,visual,data scientist,onsite,excellent,yes,2,aws
male,"tamil, english",bachelor's degree,cyber security,2.24,4,1,3.36,data analyst,"javascript, php",postgresql,aws,moderate,auditory,data scientist,onsite,poor,no,6,cisco
female,english,bachelor's degree,cyber security,3.76,1,1,3.05,data analyst,"python, sql",mongodb,docker,excellent,visual,data scientist,remote,average,no,3,google
female,tamil,bachelor's degree,computer science,2.42,2,1,3.86,software engineer,"python, r",postgresql,gcp,moderate,visual,security engineer,hybrid,poor,no,12,aws
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.58,3,1,2.86,cloud engineer,"java, c++",mongodb,kubernetes,excellent,auditory,data scientist,remote,average,no,12,cisco
female,"english, sinhala",bachelor's degree,data science,3.0,3,1,3.16,qa engineer,"python, java",mysql,gcp,moderate,kinesthetic,devops engineer,onsite,poor,yes,4,cisco
female,"sinhala, tamil",bachelor's degree,cyber security,3.89,2,1,2.32,cyber security analyst,"javascript, php",sql server,docker,excellent,visual,software engineer,remote,poor,yes,8,google
female,english,bachelor's degree,information technology,2.85,3,2,2.36,data analyst,"c#, .net",oracle,docker,excellent,kinesthetic,devops engineer,hybrid,average,yes,1,cisco
female,"english, sinhala",bachelor's degree,computer science,2.49,2,1,3.27,devops engineer,"javascript, php",postgresql,kubernetes,excellent,auditory,devops engineer,onsite,excellent,no,0,cisco
male,"sinhala, tamil",bachelor's degree,cyber security,3.87,1,2,3.2,software engineer,"java, c++",mongodb,docker,moderate,visual,data scientist,onsite,excellent,no,12,aws
female,sinhala,bachelor's degree,data science,3.22,1,2,3.1,qa engineer,"javascript, php",oracle,docker,excellent,visual,systems analyst,onsite,average,no,11,cisco
female,sinhala,bachelor's degree,computer science,2.55,4,1,2.27,software engineer,"python, sql",oracle,docker,excellent,kinesthetic,systems analyst,onsite,excellent,yes,10,azure
female,english,bachelor's degree,information technology,3.65,2,1,3.59,cyber security analyst,"javascript, php",oracle,docker,moderate,visual,systems analyst,hybrid,poor,no,7,none
female,english,bachelor's degree,information technology,3.66,1,1,3.49,data analyst,"python, r",sql server,docker,moderate,kinesthetic,devops engineer,remote,excellent,no,0,google
male,"sinhala, tamil",bachelor's degree,data science,3.46,3,2,2.8,qa engineer,"python, sql",oracle,gcp,excellent,auditory,software engineer,hybrid,poor,no,9,azure
female,"english, sinhala",bachelor's degree,information technology,2.52,3,1,3.44,ml engineer,"python, sql",mysql,aws,excellent,kinesthetic,systems analyst,hybrid,poor,yes,8,cisco
male,"tamil, english",bachelor's degree,data science,3.36,4,1,3.12,systems analyst,"python, r",mongodb,azure,excellent,auditory,qa engineer,onsite,average,no,7,google
female,"english, sinhala",bachelor's degree,data science,3.62,3,1,2.65,cloud engineer,"python, java",sql server,aws,excellent,kinesthetic,devops engineer,remote,poor,yes,6,none
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.35,3,2,3.98,software engineer,"python, sql",mongodb,docker,excellent,auditory,data scientist,hybrid,poor,no,11,none
male,"sinhala, tamil",bachelor's degree,information technology,3.52,3,2,2.81,qa engineer,"python, r",oracle,gcp,moderate,auditory,qa engineer,onsite,average,yes,11,azure
male,"sinhala, tamil",bachelor's degree,data science,2.5,4,2,2.2,cyber security analyst,"javascript, php",mysql,azure,excellent,kinesthetic,security engineer,onsite,average,yes,5,azure
female,english,bachelor's degree,data science,2.22,3,1,2.35,data analyst,"javascript, php",mysql,docker,excellent,visual,qa engineer,onsite,poor,no,10,none
male,"english, sinhala, tamil",bachelor's degree,computer science,3.56,4,1,3.03,cloud engineer,"javascript, php",oracle,azure,moderate,kinesthetic,systems analyst,onsite,poor,yes,6,aws
female,"english, sinhala",bachelor's degree,data science,2.27,1,2,3.26,software engineer,"python, java",sql server,aws,moderate,kinesthetic,devops engineer,remote,excellent,no,9,google
female,"english, sinhala",bachelor's degree,computer science,3.04,4,1,2.54,qa engineer,"c#, .net",oracle,aws,excellent,auditory,qa engineer,hybrid,excellent,no,1,cisco
female,tamil,bachelor's degree,cyber security,3.59,1,1,3.72,data analyst,"python, java",mysql,docker,low,visual,systems analyst,hybrid,poor,no,7,cisco
male,tamil,bachelor's degree,information technology,3.99,4,1,3.2,software engineer,"javascript, php",postgresql,aws,moderate,auditory,qa engineer,remote,average,yes,0,cisco
female,sinhala,bachelor's degree,data science,3.81,2,2,3.9,cloud engineer,"python, java",sql server,azure,excellent,kinesthetic,data scientist,remote,average,no,10,aws
female,tamil,bachelor's degree,information technology,3.03,2,1,3.96,software engineer,"python, java",mongodb,kubernetes,moderate,kinesthetic,systems analyst,hybrid,poor,yes,3,google
female,"english, sinhala",bachelor's degree,information technology,2.35,4,2,2.93,ml engineer,"python, java",postgresql,azure,low,kinesthetic,systems analyst,remote,excellent,yes,9,none
male,sinhala,bachelor's degree,cyber security,3.64,3,2,3.76,ai engineer,"python, sql",oracle,gcp,excellent,visual,devops engineer,remote,excellent,no,6,cisco
female,"sinhala, tamil",bachelor's degree,software engineering,2.45,4,1,2.52,software engineer,"java, c++",mysql,docker,low,visual,software engineer,hybrid,excellent,yes,6,cisco
male,tamil,bachelor's degree,information technology,2.57,2,2,2.22,data analyst,"javascript, php",sql server,docker,low,kinesthetic,software engineer,hybrid,excellent,yes,0,google
male,english,bachelor's degree,data science,2.3,4,1,3.99,ml engineer,"python, sql",mongodb,kubernetes,excellent,visual,qa engineer,onsite,average,yes,9,azure
female,"tamil, english",bachelor's degree,information technology,2.31,1,1,3.7,ml engineer,"python, java",postgresql,docker,excellent,visual,qa engineer,hybrid,average,no,7,azure
male,"english, sinhala",bachelor's degree,computer science,3.59,4,1,3.65,cloud engineer,"python, java",mongodb,docker,excellent,kinesthetic,data scientist,onsite,average,yes,7,none
male,sinhala,bachelor's degree,computer science,2.58,1,2,3.54,systems analyst,"c#, .net",mongodb,azure,moderate,kinesthetic,devops engineer,onsite,average,yes,5,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,3.74,1,1,2.75,ai engineer,"python, r",oracle,azure,low,kinesthetic,software engineer,hybrid,excellent,no,5,aws
male,"english, sinhala, tamil",bachelor's degree,software engineering,2.81,4,1,3.67,data analyst,"c#, .net",sql server,docker,low,kinesthetic,software engineer,hybrid,average,no,10,aws
female,"sinhala, tamil",bachelor's degree,software engineering,3.07,1,2,3.71,devops engineer,"javascript, php",mongodb,aws,moderate,visual,devops engineer,remote,average,yes,2,google
female,"english, sinhala",bachelor's degree,software engineering,2.61,2,2,2.41,cyber security analyst,"c#, .net",mongodb,docker,excellent,auditory,devops engineer,remote,poor,no,5,aws
male,"english, sinhala",bachelor's degree,information technology,3.23,2,2,2.7,software engineer,"python, java",oracle,gcp,low,kinesthetic,software engineer,hybrid,excellent,yes,0,google
female,"english, sinhala, tamil",bachelor's degree,computer science,2.91,1,2,3.05,network engineer,"javascript, php",mongodb,aws,excellent,visual,systems analyst,remote,poor,no,11,none
female,tamil,bachelor's degree,information technology,3.95,2,2,2.94,ai engineer,"python, sql",sql server,gcp,moderate,visual,security engineer,remote,poor,no,1,cisco
female,sinhala,bachelor's degree,data science,4.0,2,2,2.79,cyber security analyst,"python, r",mongodb,gcp,moderate,visual,software engineer,remote,average,no,7,google
female,"english, sinhala",bachelor's degree,software engineering,2.44,4,2,2.25,software engineer,"python, java",postgresql,aws,excellent,kinesthetic,qa engineer,remote,excellent,yes,6,none
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.0,1,1,3.33,cloud engineer,"c#, .net",postgresql,aws,moderate,visual,data scientist,hybrid,excellent,no,2,cisco
male,sinhala,bachelor's degree,information technology,3.36,1,1,2.32,ml engineer,"c#, .net",oracle,azure,moderate,auditory,devops engineer,hybrid,poor,yes,8,google
female,sinhala,bachelor's degree,cyber security,3.95,1,2,2.52,qa engineer,"c#, .net",sql server,kubernetes,excellent,kinesthetic,qa engineer,onsite,excellent,no,7,azure
female,"english, sinhala, tamil",bachelor's degree,data science,2.89,1,1,2.27,cloud engineer,"python, sql",mongodb,azure,moderate,auditory,devops engineer,onsite,excellent,yes,6,google
female,sinhala,bachelor's degree,data science,2.75,1,2,2.38,software engineer,"python, sql",mysql,kubernetes,moderate,kinesthetic,systems analyst,remote,excellent,yes,2,aws
male,"tamil, english",bachelor's degree,computer science,2.92,2,2,2.69,data analyst,"python, sql",oracle,gcp,moderate,auditory,devops engineer,onsite,poor,yes,7,none
male,"english, sinhala",bachelor's degree,computer science,2.36,2,1,2.83,data analyst,"python, java",oracle,gcp,low,kinesthetic,devops engineer,onsite,poor,no,11,aws
male,"tamil, english",bachelor's degree,data science,3.48,4,1,2.5,cyber security analyst,"python, java",oracle,aws,low,visual,systems analyst,remote,average,yes,9,none
male,sinhala,bachelor's degree,software engineering,2.47,1,1,3.94,devops engineer,"python, sql",postgresql,kubernetes,excellent,kinesthetic,software engineer,hybrid,poor,no,0,google
male,sinhala,bachelor's degree,computer science,3.73,1,1,3.4,ml engineer,"javascript, php",sql server,azure,moderate,auditory,devops engineer,remote,poor,no,11,cisco
male,"tamil, english",bachelor's degree,software engineering,3.88,2,1,3.86,network engineer,"java, c++",mongodb,kubernetes,moderate,auditory,devops engineer,onsite,excellent,yes,7,none
male,sinhala,bachelor's degree,computer science,2.73,3,1,3.39,qa engineer,"javascript, php",oracle,azure,low,visual,security engineer,onsite,poor,yes,11,google
female,sinhala,bachelor's degree,information technology,2.2,3,1,2.74,cloud engineer,"java, c++",postgresql,kubernetes,moderate,auditory,systems analyst,onsite,excellent,no,0,azure
female,"sinhala, tamil",bachelor's degree,cyber security,3.35,1,2,3.57,ml engineer,"java, c++",oracle,kubernetes,low,kinesthetic,security engineer,onsite,poor,no,11,aws
female,"sinhala, tamil",bachelor's degree,cyber security,3.78,2,1,3.77,ml engineer,"python, sql",oracle,docker,moderate,auditory,security engineer,hybrid,average,no,7,google
female,"english, sinhala, tamil",bachelor's degree,information technology,3.32,1,2,3.03,data analyst,"java, c++",mongodb,gcp,moderate,kinesthetic,security engineer,hybrid,average,yes,0,cisco
female,english,bachelor's degree,data science,3.12,1,2,3.1,devops engineer,"python, java",mongodb,azure,excellent,visual,security engineer,onsite,excellent,yes,6,aws
male,english,bachelor's degree,software engineering,3.51,2,1,3.28,network engineer,"python, r",mysql,azure,low,kinesthetic,qa engineer,onsite,average,no,3,google
male,tamil,bachelor's degree,data science,3.84,2,1,2.58,data analyst,"java, c++",sql server,kubernetes,low,auditory,software engineer,onsite,poor,no,11,google
male,sinhala,bachelor's degree,cyber security,3.41,3,1,2.7,cloud engineer,"javascript, php",sql server,docker,excellent,kinesthetic,devops engineer,hybrid,excellent,yes,9,aws
male,sinhala,bachelor's degree,information technology,3.39,4,1,3.58,cloud engineer,"java, c++",mongodb,azure,moderate,visual,data scientist,remote,average,yes,10,none
male,tamil,bachelor's degree,cyber security,2.29,4,1,2.9,ai engineer,"python, r",mongodb,docker,low,auditory,qa engineer,hybrid,excellent,yes,9,google
male,sinhala,bachelor's degree,software engineering,2.71,3,2,2.98,cyber security analyst,"java, c++",mysql,azure,low,kinesthetic,software engineer,remote,poor,yes,6,google
female,"tamil, english",bachelor's degree,software engineering,3.47,3,1,2.35,software engineer,"c#, .net",oracle,aws,low,kinesthetic,software engineer,remote,excellent,yes,6,aws
female,sinhala,bachelor's degree,data science,2.24,2,1,2.78,data analyst,"python, java",mongodb,azure,excellent,auditory,qa engineer,hybrid,poor,no,3,cisco
female,"sinhala, tamil",bachelor's degree,information technology,3.07,1,2,2.97,network engineer,"c#, .net",mysql,gcp,moderate,visual,software engineer,remote,excellent,yes,6,cisco
female,"tamil, english",bachelor's degree,software engineering,2.3,3,1,2.87,cyber security analyst,"java, c++",mongodb,gcp,excellent,kinesthetic,security engineer,remote,poor,no,1,cisco
female,"sinhala, tamil",bachelor's degree,data science,2.57,2,2,2.86,software engineer,"python, java",sql server,docker,low,auditory,devops engineer,hybrid,excellent,no,10,aws
male,"english, sinhala, tamil",bachelor's degree,data science,3.83,3,2,2.65,software engineer,"python, java",sql server,gcp,excellent,visual,security engineer,hybrid,excellent,yes,6,cisco
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.77,1,2,3.73,devops engineer,"javascript, php",sql server,kubernetes,moderate,auditory,security engineer,onsite,poor,yes,8,aws
male,english,bachelor's degree,information technology,3.65,2,2,2.79,devops engineer,"python, sql",mysql,kubernetes,excellent,visual,devops engineer,hybrid,poor,yes,10,azure
male,"tamil, english",bachelor's degree,software engineering,2.69,2,2,3.13,ml engineer,"javascript, php",mongodb,aws,moderate,kinesthetic,devops engineer,hybrid,poor,no,1,google
female,"tamil, english",bachelor's degree,software engineering,3.01,3,1,3.24,network engineer,"python, r",oracle,kubernetes,excellent,auditory,devops engineer,remote,poor,no,6,azure
female,"english, sinhala",bachelor's degree,data science,3.59,4,2,2.54,software engineer,"javascript, php",oracle,gcp,low,kinesthetic,security engineer,hybrid,excellent,no,1,azure
male,"sinhala, tamil",bachelor's degree,computer science,3.24,3,1,3.34,ml engineer,"python, java",sql server,aws,moderate,auditory,data scientist,remote,average,yes,0,cisco
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.51,3,1,2.37,cloud engineer,"python, r",mysql,docker,low,auditory,data scientist,onsite,average,yes,1,aws
female,"english, sinhala",bachelor's degree,data science,3.52,1,2,3.29,cyber security analyst,"javascript, php",sql server,gcp,excellent,kinesthetic,qa engineer,remote,average,yes,9,aws
female,"tamil, english",bachelor's degree,software engineering,3.64,1,1,2.56,data analyst,"python, java",mysql,aws,excellent,kinesthetic,devops engineer,onsite,average,no,11,cisco
male,"tamil, english",bachelor's degree,software engineering,2.95,1,1,2.88,systems analyst,"java, c++",mysql,kubernetes,low,auditory,systems analyst,onsite,average,no,12,azure
female,"english, sinhala",bachelor's degree,information technology,2.29,3,1,2.66,network engineer,"javascript, php",mongodb,docker,excellent,visual,security engineer,remote,average,no,9,aws
female,"english, sinhala",bachelor's degree,cyber security,2.56,1,1,3.31,cyber security analyst,"python, sql",mongodb,kubernetes,low,kinesthetic,software engineer,remote,average,yes,6,aws
female,"sinhala, tamil",bachelor's degree,computer science,3.2,4,2,3.53,network engineer,"javascript, php",postgresql,docker,excellent,auditory,devops engineer,remote,excellent,yes,4,google
female,"sinhala, tamil",bachelor's degree,computer science,2.32,4,1,3.13,ml engineer,"python, sql",mysql,azure,excellent,visual,qa engineer,remote,average,no,5,google
male,tamil,bachelor's degree,cyber security,2.78,4,1,3.73,cloud engineer,"javascript, php",mysql,gcp,low,kinesthetic,systems analyst,remote,excellent,yes,6,aws
male,"sinhala, tamil",bachelor's degree,software engineering,3.14,1,2,3.32,ml engineer,"javascript, php",mongodb,azure,excellent,auditory,qa engineer,onsite,average,no,12,aws
male,english,bachelor's degree,software engineering,3.56,2,2,3.0,cyber security analyst,"python, r",mysql,docker,moderate,auditory,security engineer,onsite,average,no,7,aws
male,tamil,bachelor's degree,data science,3.52,1,1,3.65,software engineer,"javascript, php",oracle,azure,moderate,visual,security engineer,onsite,average,no,9,cisco
male,"tamil, english",bachelor's degree,software engineering,2.87,1,1,3.33,software engineer,"javascript, php",mysql,azure,low,visual,qa engineer,hybrid,excellent,no,2,none
male,sinhala,bachelor's degree,cyber security,3.13,3,1,2.76,devops engineer,"c#, .net",mongodb,kubernetes,excellent,auditory,systems analyst,hybrid,excellent,no,10,google
female,"english, sinhala",bachelor's degree,cyber security,2.53,2,1,2.7,devops engineer,"c#, .net",mysql,gcp,moderate,visual,data scientist,remote,average,no,4,cisco
female,sinhala,bachelor's degree,cyber security,2.23,2,2,3.6,cyber security analyst,"javascript, php",oracle,aws,excellent,kinesthetic,data scientist,hybrid,excellent,yes,6,cisco
female,"english, sinhala",bachelor's degree,computer science,3.69,1,1,2.34,qa engineer,"python, r",mysql,kubernetes,moderate,visual,systems analyst,remote,excellent,no,9,none
female,sinhala,bachelor's degree,information technology,3.37,3,1,3.32,ml engineer,"python, sql",oracle,kubernetes,moderate,auditory,software engineer,onsite,excellent,yes,3,cisco
male,"english, sinhala, tamil",bachelor's degree,information technology,2.56,4,2,3.42,data analyst,"python, r",sql server,gcp,excellent,visual,software engineer,remote,excellent,no,10,none
male,"tamil, english",bachelor's degree,software engineering,3.1,4,2,3.84,ai engineer,"python, java",mysql,kubernetes,moderate,auditory,security engineer,remote,average,yes,12,azure
female,"sinhala, tamil",bachelor's degree,software engineering,3.89,1,2,3.45,software engineer,"java, c++",mongodb,gcp,excellent,kinesthetic,security engineer,onsite,poor,yes,8,google
female,tamil,bachelor's degree,data science,3.67,1,1,2.66,software engineer,"python, java",mongodb,aws,moderate,auditory,systems analyst,hybrid,excellent,no,3,azure
female,"tamil, english",bachelor's degree,cyber security,3.09,2,1,3.0,devops engineer,"python, java",oracle,gcp,excellent,visual,systems analyst,remote,poor,no,4,azure
female,english,bachelor's degree,computer science,2.77,3,1,2.38,cloud engineer,"python, r",mysql,gcp,excellent,kinesthetic,devops engineer,remote,average,no,0,cisco
male,"english, sinhala",bachelor's degree,data science,3.95,4,2,3.13,network engineer,"javascript, php",mongodb,aws,moderate,visual,security engineer,hybrid,average,no,5,google
male,"sinhala, tamil",bachelor's degree,information technology,2.24,1,1,3.01,devops engineer,"javascript, php",sql server,aws,low,visual,devops engineer,remote,excellent,yes,12,aws
male,"english, sinhala",bachelor's degree,computer science,3.77,2,1,3.86,software engineer,"java, c++",postgresql,kubernetes,moderate,visual,software engineer,remote,poor,yes,12,none
female,"sinhala, tamil",bachelor's degree,software engineering,3.06,2,2,2.39,data analyst,"python, r",mysql,aws,moderate,visual,data scientist,remote,poor,yes,3,google
female,english,bachelor's degree,information technology,3.57,1,1,3.78,software engineer,"python, java",oracle,gcp,excellent,visual,security engineer,onsite,average,yes,6,none
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.78,1,1,3.15,ai engineer,"python, java",postgresql,azure,excellent,kinesthetic,devops engineer,onsite,poor,no,9,aws
male,sinhala,bachelor's degree,cyber security,3.08,3,2,3.15,network engineer,"c#, .net",sql server,azure,excellent,visual,data scientist,hybrid,excellent,yes,7,none
male,"sinhala, tamil",bachelor's degree,information technology,2.27,2,1,2.24,ai engineer,"python, sql",mysql,gcp,excellent,visual,qa engineer,remote,poor,yes,0,cisco
female,english,bachelor's degree,computer science,2.33,3,1,3.36,software engineer,"python, r",mysql,aws,moderate,visual,devops engineer,onsite,poor,yes,11,cisco
male,sinhala,bachelor's degree,information technology,2.58,4,2,3.82,data analyst,"python, r",sql server,docker,moderate,auditory,systems analyst,remote,poor,yes,7,google
female,tamil,bachelor's degree,cyber security,2.64,2,1,3.67,data analyst,"python, sql",mongodb,aws,low,visual,qa engineer,remote,average,yes,12,none
male,"english, sinhala",bachelor's degree,software engineering,3.93,3,2,3.83,software engineer,"c#, .net",postgresql,gcp,moderate,auditory,devops engineer,hybrid,excellent,yes,9,none
male,"english, sinhala",bachelor's degree,data science,2.41,2,2,2.47,ml engineer,"c#, .net",postgresql,gcp,low,kinesthetic,systems analyst,remote,poor,no,9,google
male,tamil,bachelor's degree,computer science,2.23,4,1,3.94,cyber security analyst,"python, java",sql server,azure,moderate,visual,data scientist,onsite,average,no,9,google
male,"tamil, english",bachelor's degree,computer science,2.55,1,2,2.32,software engineer,"python, r",postgresql,docker,moderate,kinesthetic,software engineer,hybrid,poor,no,2,azure
female,english,bachelor's degree,cyber security,3.88,3,1,2.53,devops engineer,"javascript, php",sql server,aws,excellent,visual,data scientist,onsite,excellent,no,10,none
male,sinhala,bachelor's degree,cyber security,2.87,3,1,3.82,cyber security analyst,"javascript, php",mysql,docker,low,auditory,security engineer,onsite,poor,no,11,aws
female,"english, sinhala, tamil",bachelor's degree,computer science,2.89,4,2,3.2,qa engineer,"javascript, php",postgresql,azure,excellent,kinesthetic,qa engineer,onsite,average,no,11,azure
female,sinhala,bachelor's degree,data science,3.85,1,2,2.65,devops engineer,"c#, .net",postgresql,aws,low,auditory,data scientist,remote,excellent,no,1,cisco
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.91,3,1,3.71,cyber security analyst,"javascript, php",mongodb,gcp,low,auditory,security engineer,hybrid,excellent,yes,1,google
female,english,bachelor's degree,computer science,3.57,3,1,2.38,cyber security analyst,"python, r",sql server,docker,moderate,kinesthetic,qa engineer,remote,average,no,10,google
female,english,bachelor's degree,data science,3.04,3,2,3.84,ml engineer,"c#, .net",oracle,azure,excellent,kinesthetic,devops engineer,remote,average,no,0,azure
female,english,bachelor's degree,information technology,3.35,3,1,2.67,devops engineer,"javascript, php",mysql,kubernetes,moderate,visual,systems analyst,onsite,poor,no,9,azure
male,"english, sinhala, tamil",bachelor's degree,computer science,3.44,3,2,3.94,systems analyst,"python, java",mysql,docker,moderate,kinesthetic,qa engineer,remote,average,no,9,cisco
male,sinhala,bachelor's degree,computer science,3.09,2,1,3.27,data analyst,"c#, .net",mongodb,kubernetes,low,kinesthetic,systems analyst,onsite,excellent,no,7,aws
male,english,bachelor's degree,cyber security,3.71,3,1,2.49,devops engineer,"python, sql",sql server,aws,low,auditory,systems analyst,onsite,excellent,no,9,aws
male,"english, sinhala",bachelor's degree,cyber security,3.03,1,2,2.84,ml engineer,"java, c++",sql server,gcp,excellent,kinesthetic,qa engineer,remote,excellent,yes,0,aws
male,tamil,bachelor's degree,cyber security,2.49,1,1,2.9,data analyst,"javascript, php",mysql,azure,moderate,auditory,qa engineer,hybrid,excellent,yes,10,google
female,"sinhala, tamil",bachelor's degree,computer science,2.79,1,1,2.87,network engineer,"c#, .net",oracle,docker,moderate,visual,data scientist,hybrid,excellent,yes,0,cisco
male,sinhala,bachelor's degree,data science,3.29,3,1,3.39,devops engineer,"c#, .net",postgresql,gcp,moderate,kinesthetic,qa engineer,hybrid,poor,no,4,aws
male,english,bachelor's degree,software engineering,3.92,3,2,2.23,data analyst,"c#, .net",mongodb,kubernetes,excellent,visual,systems analyst,onsite,average,yes,3,none
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.6,2,2,3.73,network engineer,"javascript, php",mongodb,kubernetes,excellent,visual,systems analyst,onsite,excellent,yes,7,cisco
male,"english, sinhala",bachelor's degree,data science,3.03,4,1,2.75,devops engineer,"python, r",mysql,azure,excellent,auditory,devops engineer,onsite,excellent,no,9,google
male,"tamil, english",bachelor's degree,information technology,2.69,4,1,3.94,cloud engineer,"c#, .net",postgresql,gcp,excellent,kinesthetic,software engineer,onsite,average,no,6,aws
female,tamil,bachelor's degree,computer science,2.71,3,1,2.24,software engineer,"python, r",sql server,aws,moderate,kinesthetic,data scientist,onsite,average,no,1,aws
